Código,Título
IPUMPINJ,"Inyección, bomba de insulina"
ISINJ,"Inyección, intraespinal"
ISTERINJ,"Inyección, intrasternal"
ISYNINJ,"Inyección, intrasinovial"
ITENDINJ,"Inyección, intratendinosa"
ITESTINJ,"Inyección, intratesticular"
ITHORINJ,"Inyección, intratorácica"
ITINJ,"Inyección, intratecal"
ITUBINJ,"Inyección, intratubular"
ITUMINJ,"Inyección, intratumoral"
ITYMPINJ,"Inyección, intratimpánica"
IUINJ,"Inyección, intrauterina"
IUINJC,"Inyección, intracervical (útero)"
IURETINJ,"Inyección, intraureteral, retrógrada"
IVASCINJ,"Inyección, intravascular"
IVENTINJ,"Inyección, intraventricular (corazón)"
IVESINJ,"Inyección, intravesical"
IVINJ,"Inyección, intravenosa"
IVITINJ,"Inyección, intravítrea"
PAINJ,"Inyección, periarticular"
PARENTINJ,"Inyección, parenteral"
PDONTINJ,"Inyección, periodontal"
PDPINJ,"Inyección, puerto de diálisis peritoneal"
PDURINJ,"Inyección, peridural"
PNINJ,"Inyección, perineural"
PNSINJ,"Inyección, senos paranasales"
RBINJ,"Inyección, retrobulbar"
SCINJ,"Inyección, subconjuntival"
SLESINJ,"Inyección, sublesional"
SOFTISINJ,"Inyección, tejidos blandos"
SQ,"Inyección, subcutánea"
SUBARACHINJ,"Inyección, subaracnoidea"
SUBMUCINJ,"Inyección, submucosa"
TRPLACINJ,"Inyección, transplacentaria"
TRTRACHINJ,"Inyección, transtraqueal"
URETHINJ,"Inyección, uretral"
URETINJ,"Inyección, ureteral"
IOSURGINS,"Inserción, intraocular, quirúrgica"
IU,"Inserción, intrauterina"
LPINS,"Inserción, puntos lagrimales"
PR,"Inserción, rectal"
SQSURGINS,"Inserción, subcutánea, quirúrgica"
URETHINS,"Inserción, uretral"
VAGINSI,"Inserción, vaginal"
BLADINSTL,"Instilación, catéter urinario"
CAPDINSTL,"Instilación, puerto de diálisis peritoneal ambulatoria continua"
CTINSTL,"Instilación, tubo torácico"
ETINSTL,"Instilación, tubo endotraqueal"
GJT,"Instilación, tubo de gastro-yeyunostomía"
IBRONCHINSTIL,"Instilación, intrabronquial"
IDUODINSTIL,"Instilación, intraduodenal"
IESOPHINSTIL,"Instilación, intraesofágica"
IGASTINSTIL,"Instilación, intragástrica"
IILEALINJ,"Instilación, intraileal"
IOINSTL,"Instilación, intraocular"
ISININSTIL,"Instilación, intrasinal"
ITRACHINSTIL,"Instilación, intratraqueal"
IUINSTL,"Instilación, intrauterina"
JJTINSTL,"Instilación, tubo de yeyunostomía"
LARYNGINSTIL,"Instilación, laríngea"
NASALINSTIL,"Instilación, nasal"
NASOGASINSTIL,"Instilación, nasogástrica"
NTT,"Instilación, tubo nasotraqueal"
OJJ,"Instilación, tubo de oroyeyuno"
OT,"Instilación, ótica"
PDPINSTL,"Instilación, puerto de diálisis peritoneal"
PNSINSTL,"Instilación, senos paranasales"
RECINSTL,"Instilación, rectal"
SININSTIL,"Instilación, sinusal, no especificada"
SOFTISINSTIL,"Instilación, tejidos blandos"
TRACHINSTL,"Instilación, traqueotomía"
TRTYMPINSTIL,"Instilación, transtimpánica"
URETHINSTL,"Instilación, uretral"
ICORNTA,"Aplicación tópica, intracorneal"
ICORONTA,"Aplicación tópica, intracoronal (dental)"
IDOUDMAB,"Absorción mucosa, intraduodenal"
IESOPHTA,"Aplicación tópica, intraesofágica"
IGASTIRR,"Irrigación, intragástrica"
IGASTLAV,"Lavado, intragástrico"
IILEALTA," Aplicación tópica, intraileal"
ILESIRR,"Irrigación, intralesional"
ILTOP,"Aplicación tópica, intralesional"
ILUMTA,"Aplicación tópica, intraluminal"
IOIRR,"Irrigación, intraocular"
IOTOP,"Aplicación tópica, intraocular"
ITRACHMAB,"Absorción mucosa, intratraqueal"
BLADIRR,"Irrigación, vejiga urinaria"
RECIRR,"Irrigación, rectal"
LARYNGTA,"Aplicación tópica, laríngea"
TRNSLING,Translingual
SMUCMAB,"Absorción mucosa, submucosa"
MUC,"Aplicación tópica, membrana mucosa"
NAIL,"Aplicación tópica, uñas"
NASAL,"Aplicación tópica, nasal"
ETNEB,"Nebulización, tubo endotraqueal"
OPTHALTA,"Aplicación tópica, oftálmica"
ORALTA,"Aplicación tópica, oral"
ORRINSE,"Enjuague, bucal"
PO,"Tragar, oral"
GARGLE,Gárgaras
ORMUC,"Aplicación tópica, oromucosal"
SUCK,"Succión, uso bucal"
SWISHSPIT,"Enjuagar y escupir, uso bucal"
SWISHSWAL,"Enjuagar e ingerir, uso bucal"
OROPHARTA,"Aplicación tópica, orofaríngea"
PERIANAL,"Aplicación tópica, perianal"
PERINEAL,"Aplicación tópica, perineal"
PDONTTA,"Aplicación tópica, periodontal"
RECTAL,"Aplicación tópica, rectal"
INSUF,Insuflación
TRNSDERM,Transdermal
SCALP,"Aplicación tópica, cuero cabelludo"
OCDRESTA,Técnica de vendaje oclusivo
SKIN,"Aplicación tópica, piel"
SUBCONJTA,Subconjuntival
URETHSUP,"Supositorio, uretral"
TTYMPTABSORP,"Absorción tópica, transtímpica"
TMUCTA,"Aplicación tópica, transmucosa"
VAGINS,"Aplicación tópica, vaginal"
